lon,lat,name
8.5816694,48.9522208,Feuerwehr Remchingen Abteilung Nord
7.2008358,51.849057,Feuerwehrgerätehaus Merfeld
9.7785454,53.2135039,Feuerwehr Groß Todtshorn
12.1741756,49.0227398,Freiwillige Feuerwehr Tegernheim
10.1050937,51.5366319,Feuerwehr Landolfshausen
14.0666726,51.3523263,Freiwillige Feuerwehr Straßgräbchen
8.9713762,50.0441943,Freiwillige Feuerwehr Seligenstadt
6.7417232,51.6696774,Freiwillige Feuerwehr Drevenack
10.8029055,48.6582348,Freiwillige Feuerwehr Mertingen
10.0215194,48.2788494,Feuerwehr Dorndorf
12.4003432,49.3637326,FF Kröblitz
6.669321,51.6659125,Feuerwehr Wesel
9.6218844,48.8708256,Freiwillige Feuerwehr Welzheim
9.3678697,48.6785398,Feuerwehr Köngen
8.8560866,50.0950049,Freiwillige Feuerwehr Mühlheim-Lämmerspiel
9.2697621,48.680565,Freiwillige Feuerwehr Neuhausen auf den Fildern
12.1073156,51.0839728,Freiwillige Feuerwehr Theißen
12.2694825,51.611055,Freiwillige Feuerwehr Zscherndorf / Ramsin
8.4530189,48.9746119,Feuerwehrgerätehaus Wolfartsweier
8.4592696,48.9895057,Feuerwehrhaus Aue
8.3554878,49.010969,Feuerwehr Mühlburg
8.3412519,49.0049707,ABC-Zug Karlsruhe-Stadt
10.031552,52.4467569,Freiwillige Feuerwehr Hülptingsen
8.4074848,50.0290952,Freiwillige Feuerwehr Flörsheim-Wicker
12.7042288,49.3767588,Freiwillige Feuerwehr Waldmünchen
8.3408107,50.1100649,Freiwillige Feuerwehr Medenbach
10.5537378,51.5634069,Freiwillige Feuerwehr Tettenborn
8.2670856,52.3619473,Feuerwehr Herringhausen
8.2776327,52.4383963,Freiwillige Feuerwehr Hunteburg
9.9393345,48.4354188,Feurerwehr Mähringen
9.6503291,53.3150465,Feuerwehr Heidenau
12.9031395,51.8809005,Freiwillige Feuerwehr Seyda
12.8945909,51.891078,Freiwillige Feuerwehr
12.9111693,51.9058183,Freiwillige Feuerwehr Mellnitz
12.9412705,51.9039394,Freiwillige Feuerwehr Morxdorf
9.9114107,51.7971681,Freiwillige Feuerwehr Salzderhelden
6.4567944,50.7274212,Löschgruppe Untermaubach
13.3030659,48.9873889,Freiwillige Feuerwehr Frauenau
7.9037156,48.3978369,Freiwillige Feuerwehr Oberschopfheim
11.7034971,47.8769269,Freiwillige Feuerwehr Holzkirchen
10.2127835,51.7535065,Feuerwehrtechnische Zentrale Osterode
9.3426677,51.127983,Freiwillige Feuerwehr Cappel
8.5656896,53.6886048,Freiwillige Feuerwehr Dorum
9.8917224,48.4438115,Feuerwehr Weidach
9.9375987,48.3703173,Feuerwehr Grimmelfingen
12.1505485,51.7231619,Freiwillige Feuerwehr Hinsdorf
12.079743,51.7684911,Freiwillige Feuerwehr Scheuder
9.26572,51.1599644,Freiwillige Feuerwehr Haddamar
7.2041083,50.6447397,Feuerwehr Rolandswerth
9.1848456,49.7738268,Freiwillige Feuerwehr Klingenberg
13.290385,51.2780029,Stadtteilfeuerwehr Riesa-Nickritz
13.3397432,51.2659177,Freiwillige Feuerwehr Heyda
7.3681266,50.8159051,Feuerwehrhaus Winterscheid
13.7297238,51.1620397,Freiwillige Feuerwehr Bärnsdorf
10.6176281,53.1454381,Freiwillige Feuerwehr Eddelstorf
10.5969394,53.1280413,Feuerwehr Altenmedingen
10.3646155,48.3752865,Freiwillige Feuerwehr Ettenbeuren
10.8378211,49.0082896,Freiwillige Feuerwehr Markt Berolzheim
8.0866006,51.0877093,Freiwillige Feuerwehr Kirchhundem
7.9577895,53.6099123,Freiwillige Feuerwehr Waddewarden
12.4636114,54.0291616,Freiwillige Feuerwehr Tessin
14.6578856,50.9865829,Freiwillige Feuerwehr Eibau
10.4295137,52.1815034,Freiwillige Feuerwehr Beddingen
10.3861088,52.232401,Freiwillige Feuerwehr Wierthe
10.7033944,48.4391827,Freiwillige Feuerwehr Bonstetten
9.3618236,48.6574143,Freiwillige Feuerwehr Unterensingen
13.6301861,52.3043218,Feuerwehr Königs Wusterhausen
8.7915825,50.3244535,Freiwillige Feuerwehr Ossenheim
9.6806632,50.0596083,Feuerwehr Gemünden a. Main
11.4581492,48.8606408,Freiwillige Feuerwehr Stammham
11.4235247,48.4955738,Freiwillige Feuerwehr Winden
9.0512514,50.2748058,Feuerwehr
7.8610135,53.5482127,Freiwillige Feuerwehr Cleverns
6.004218,51.7916919,Freiwillige Feuerwehr Kranenburg
11.9239101,51.2283266,Freiwillige Feuerwehr Storkau
10.663224,54.3213374,Freiwillige Feuerwehr Hohwacht-Neudorf
9.7382739,51.8047005,"Freiwillige Feuerwehr, Ortsteil Ellensen"
9.9673783,48.4334257,Feuerwehr Lehr
9.9126078,52.442232,Freiwillige Feuerwehr Kirchhorst-Stelle
9.9143139,52.4786648,Freiwillige Feuerwehr Oldhorst
9.659932,48.4423271,Freiwillige Feuerwehr Heroldstatt
12.3578402,54.2396969,Kreisfeuerwehrzentrale
9.1955125,51.2755802,Freiwillige Feuerwehr Altenstädt
9.1732463,51.2492999,Freiwillige Feuerwehr Stadt Naumburg
7.8539449,53.0239778,Freiwillige Feuerwehr Friesoythe
9.0324994,49.3845889,Neckarkatzenbach
7.8876123,49.4435483,Freiwillige Feuerwehr Hochspeyer
7.9490294,49.1471238,Freiwillige Feuerwehr Silz
9.9976728,48.2745627,Feuerwehr Schnürpflingen
12.2799147,51.8416351,Freiwillige Feuerwehr Waldersee
9.0366702,48.0863283,Feuerwehr Hausen im Tal
9.7678484,53.3115707,Feuerwehr Kakenstorf
9.1151988,48.9197955,Freiwillige Feuerwehr Tamm
9.1707983,47.9390656,Wald
10.8857503,49.5096321,Freiwillige Feuerwehr Veitsbronn
7.6653387,51.7399232,Freiwillige Feuerwehr Ascheberg - Löschzug Herbern
14.895604,51.2301949,Freiwillige Feuerwehr Kodersdorf
9.0233672,49.365842,Feuerwehr
8.8795616,49.8486584,Freiwillige Feuerwehr Habitzheim
9.3545039,52.3982865,Freiwillige Feuerwehr Idensen
9.2250235,48.606072,Freiwillige Feuerwehr Schlaitdorf
13.1614112,54.0968612,"Feuerwehr Süderholz, Standort Neuendorf"
8.7558812,50.297507,Freiwillige Feuerwehr Ober-Wöllstadt
10.0358564,47.6934756,Freiwillige Feuerwehr Isny
12.5304098,51.9619474,Freiwillige Feuerwehr
7.7849977,51.9822537,Feuerwehr Telgte
12.3740344,49.4489052,Freiwillige Feuerwehr Niedermurach
8.9843262,50.2923048,Freiwillige Feuerwehr
9.8342801,49.4753155,altes Feuerwehrhaus
12.4161891,51.7508844,Jüdenberg
7.5434395,50.9026528,Feuerwehr Nümbrecht
10.6817881,50.6077839,Feuerwehr Suhl-Zentrum
7.9443086,53.1197202,Freiwillige Feuerwehr Osterscheps
7.9419726,53.1449816,Freiwillige Feuerwehr Dänikhorst
12.1993813,51.8957403,Freiwillige Feuerwehr Rodleben
10.4730546,48.4284635,Freiwillige Feuerwehr Roßhaupten
9.0910892,48.8525563,Feuerwehrhaus Münchingen
12.6655301,50.8563976,Freiwillige Feuerwehr Langenchursdorf
8.6440208,49.8783826,Freiwillige Feuerwehr Darmstadt-Innenstadt
9.9269661,54.661248,Freiwillige Feuerwehr Kappeln Innenstadt
10.5825795,52.3413768,Ortsfeuerwehr Bevenrode
11.7154586,49.1638708,Freiwillige Feuerwehr Parsberg
9.8564438,54.3997415,Freiwillige Feuerwehr Holtsee
9.2310061,49.7287514,Freiwillige Feuerwehr Großheubach
13.7405564,51.2970283,Freiwillige Feuerwehr Thiendorf
13.0268452,51.5100295,Feuerwehr Bennewitz
8.7156682,50.2441287,Freiwillige Feuerwehr Petterweil
12.5450438,50.7684291,Freiwillige Feuerwehr Thurm
8.3320064,52.4285616,Freiwillige Feuerwehr Stemwede Löschgruppe Drohne
7.3212506,50.9602057,Freiwillige Feuerwehr Vilkerath
12.4475457,50.5821878,Freiwillige Feuerwehr Stangengrün
10.165423,49.7357472,Freiwillige Feuerwehr Kitzingen
9.2857767,54.1411286,Freiwillige Feuerwehr Albersdorf
9.7278479,52.5625685,Freiwillige Feuerwehr Hellendorf
10.0080172,52.1513887,Freiwillige Feuerwehr Achtum-Uppen
11.6154201,48.7696413,Freiwillige Feuerwehr Vohburg
6.3950418,51.7025612,Gerätehaus Löschzug Xanten Nord
10.5858515,49.2020017,Freiwillige Feuerwehr Sommersdorf
14.3953612,52.511277,Feuerwache Friedersdorf
8.7116552,53.1702817,Freiwillige Feuerwehr Burgdamm
7.3689327,52.5600616,Freiwillige Feuerwehr Brögbern
9.8677043,51.7863349,Freiwillige Feuerwehr Odagesen
7.7788761,47.9585461,Feuerwehr Ebringen
12.3145199,49.4988887,Freiwillige Feuerwehr Gleiritsch
7.2475767,49.5536075,Freiwillige Feuerwehr Freisen
7.7329716,47.6420088,Haus der Sicherheit
11.2563234,49.4353563,Freiwillige Feuerwehr Brunn
8.8303203,50.7844118,Freiwillige Feuerwehr Marburg-Schröck
9.022141,49.0019024,Freiwillige Feuerwehr
11.9492161,54.043122,Freiwillige Feuerwehr
12.4233132,50.8572069,Freiwillige Feuerwehr Ponitz
9.0764745,49.3899679,Freiwillige Feuerwehr Guttenbach
11.7149278,52.0330676,Freiwillige Feuerwehr
13.0575695,52.5472525,Freiwillige Feuerwehr Dallgow-Döberitz
7.011117,51.1975605,Feuerwehr Haan
12.040969,51.3943495,Freiwillige Feuerwehr
9.7607024,52.5683608,Freiwillige Feuerwehr Meitze
9.7560503,53.3327781,Feuerwehr Drestedt
7.127276,49.6752773,Freiwillige Feuerwehr Rinzenberg
9.2526457,53.5878203,Freiwillige Feuerwehr Oldendorf
9.3553605,49.8264814,Feuerwehrhaus
10.036804,52.1029787,Freiwillige Feuerwehr Heinde
12.4119009,51.8054359,Freiwillige Feuerwehr Oranienbaum
12.087898,49.0584357,Staatliche Feuerwehrschule Regensburg
10.0145689,52.0974411,Feuerwehrtechnische Zentrale Landkreis Hildesheim
10.6643144,50.6526685,Freiwillige Feuerwehr Zella-Mehlis
12.2178063,51.3967013,Feuerwehr Schkeuditz
14.4598598,51.2481004,Freiwillige Feuerwehr Großdubrau
8.3316215,48.8869476,Freiwillige Feuerwehr Malsch Abt. Malsch
8.6346642,49.2178812,Freiwillige Feuerwehr Kronau
12.4634968,50.8157873,Freiwillige Feuerwehr Dennheritz
9.3267485,48.7183275,Freiwillige Feuerwehr Esslingen - Abteilung Berkheim
9.0626077,48.6388247,Feuerwehr Neuweiler
9.9168728,53.3864885,Freiwillige Feuerwehr Iddensen
9.6785391,52.5521465,Freiwillige Feuerwehr Brelingen
12.390515,49.4459717,Freiwillige Feuerwehr Obermurach
8.7666227,49.5863314,Freiwillige Feuerwehr Weiher
10.3435498,52.9200264,Freiwillige Feuerwehr Dreilingen
8.9698951,48.3800538,Freiwillige Feuerwehr Sickingen
11.8988515,48.9058035,Freiwillige Feuerwehr Affecking
9.7146591,52.575826,Freiwillige Feuerwehr Bennemühlen
9.6653865,51.9346402,Feuerwehr Holzen
